inegi_entidad,entidad,inegi_municipio,municipio,id_delito,delito,carpetas,tasa,fecha
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,4,0.4470212757587433,2015-01
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,1,0.11175531893968582,2015-02
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,2,0.22351063787937164,2015-03
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,3,0.33526596426963806,2015-04
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,3,0.33526596426963806,2015-05
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,4,0.4470212757587433,2015-06
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,1,0.11175531893968582,2015-07
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,2,0.22351063787937164,2015-08
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,4,0.4470212757587433,2015-09
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,1,0.11175531893968582,2015-10
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,0,0,2015-11
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,1,0.11175531893968582,2015-12
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,1,2.0721523761749268,2015-01
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2015-02
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2015-03
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,1,2.0721523761749268,2015-04
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2015-05
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2015-06
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2015-07
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2015-08
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2015-09
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2015-10
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2015-11
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2015-12
1,Aguascalientes,1003,Calvillo,1100,Homicidio doloso,0,0,2015-01
1,Aguascalientes,1003,Calvillo,1100,Homicidio doloso,0,0,2015-02
1,Aguascalientes,1003,Calvillo,1100,Homicidio doloso,0,0,2015-03
1,Aguascalientes,1003,Calvillo,1100,Homicidio doloso,0,0,2015-04
1,Aguascalientes,1003,Calvillo,1100,Homicidio doloso,0,0,2015-05
1,Aguascalientes,1003,Calvillo,1100,Homicidio doloso,0,0,2015-06
1,Aguascalientes,1003,Calvillo,1100,Homicidio doloso,0,0,2015-07
1,Aguascalientes,1003,Calvillo,1100,Homicidio doloso,0,0,2015-08
1,Aguascalientes,1003,Calvillo,1100,Homicidio doloso,0,0,2015-09
1,Aguascalientes,1003,Calvillo,1100,Homicidio doloso,0,0,2015-10
1,Aguascalientes,1003,Calvillo,1100,Homicidio doloso,0,0,2015-11
1,Aguascalientes,1003,Calvillo,1100,Homicidio doloso,0,0,2015-12
1,Aguascalientes,1004,Cosio,1100,Homicidio doloso,0,0,2015-01
1,Aguascalientes,1004,Cosio,1100,Homicidio doloso,0,0,2015-02
1,Aguascalientes,1004,Cosio,1100,Homicidio doloso,1,6.195786952972412,2015-03
1,Aguascalientes,1004,Cosio,1100,Homicidio doloso,0,0,2015-04
1,Aguascalientes,1004,Cosio,1100,Homicidio doloso,0,0,2015-05
1,Aguascalientes,1004,Cosio,1100,Homicidio doloso,0,0,2015-06
1,Aguascalientes,1004,Cosio,1100,Homicidio doloso,0,0,2015-07
1,Aguascalientes,1004,Cosio,1100,Homicidio doloso,0,0,2015-08
1,Aguascalientes,1004,Cosio,1100,Homicidio doloso,0,0,2015-09
1,Aguascalientes,1004,Cosio,1100,Homicidio doloso,0,0,2015-10
1,Aguascalientes,1004,Cosio,1100,Homicidio doloso,0,0,2015-11
1,Aguascalientes,1004,Cosio,1100,Homicidio doloso,0,0,2015-12
1,Aguascalientes,1005,Jesus Maria,1100,Homicidio doloso,1,0.8580008745193481,2015-01
1,Aguascalientes,1005,Jesus Maria,1100,Homicidio doloso,0,0,2015-02
1,Aguascalientes,1005,Jesus Maria,1100,Homicidio doloso,1,0.8580008745193481,2015-03
1,Aguascalientes,1005,Jesus Maria,1100,Homicidio doloso,0,0,2015-04
1,Aguascalientes,1005,Jesus Maria,1100,Homicidio doloso,1,0.8580008745193481,2015-05
1,Aguascalientes,1005,Jesus Maria,1100,Homicidio doloso,0,0,2015-06
1,Aguascalientes,1005,Jesus Maria,1100,Homicidio doloso,1,0.8580008745193481,2015-07
1,Aguascalientes,1005,Jesus Maria,1100,Homicidio doloso,0,0,2015-08
1,Aguascalientes,1005,Jesus Maria,1100,Homicidio doloso,0,0,2015-09
1,Aguascalientes,1005,Jesus Maria,1100,Homicidio doloso,0,0,2015-10
1,Aguascalientes,1005,Jesus Maria,1100,Homicidio doloso,0,0,2015-11
1,Aguascalientes,1005,Jesus Maria,1100,Homicidio doloso,0,0,2015-12
1,Aguascalientes,1006,Pabellon De Arteaga,1100,Homicidio doloso,0,0,2015-01
1,Aguascalientes,1006,Pabellon De Arteaga,1100,Homicidio doloso,0,0,2015-02
1,Aguascalientes,1006,Pabellon De Arteaga,1100,Homicidio doloso,0,0,2015-03
1,Aguascalientes,1006,Pabellon De Arteaga,1100,Homicidio doloso,0,0,2015-04
1,Aguascalientes,1006,Pabellon De Arteaga,1100,Homicidio doloso,0,0,2015-05
1,Aguascalientes,1006,Pabellon De Arteaga,1100,Homicidio doloso,0,0,2015-06
1,Aguascalientes,1006,Pabellon De Arteaga,1100,Homicidio doloso,0,0,2015-07
