CLAVE,Year,agriculture,business_support,construction,entertainment,finance,hospitality,management,manufacturing,media,mining,other_services,professional_services,real_estate,retail,transport,wholesale,UE,micro_firms,small_firms,medium_firms,big_firms
2001,2019,0.01611154144074361,0.01476891298734831,0.009243480506067648,0.016937774335140716,0.02726568551510457,0.13224890265943712,0,0.07358636715724244,0.004337722695584818,0.0012909888974954814,0.21755744900593854,0.03516653756777692,0.020500903692228248,0.38079008520526725,0.013632842757552286,0.03656080557707204,19365,83.14,14.08,2.07,0.46
2002,2015,0.0015878056525881232,0.019441798101690132,0.008503581383860837,0.011432200698634487,0.0231819625277866,0.1207790833068699,7.05691401150277e-5,0.07752020041635793,0.004869270667936911,3.528457005751385e-4,0.238276701598391,0.03034473024946191,0.026886842383825552,0.3860131964292015,0.011220493278289403,0.039518718464415514,28341,84.23,13.05,1.72,1
2002,2019,0.00170261066969353,0.015290111504306604,0.008713360486078655,0.012552580623622888,0.03558790144888829,0.13524070241036257,0.00010015356880550177,0.08032316218201242,0.0032716832476463913,3.3384522935167257e-4,0.24046871870200975,0.03148160512786272,0.026006543366495292,0.35761500968151166,0.011884890164919544,0.03942712158643253,29954,80.6,16.35,1.97,0.47
2003,2015,3.078817733990148e-4,0.01816502463054187,0.0033866995073891628,0.01293103448275862,0.025246305418719212,0.1105295566502463,0,0.12038177339901478,0.00646551724137931,6.157635467980296e-4,0.20350985221674878,0.02185960591133005,0.016933497536945813,0.4107142857142857,0.017549261083743842,0.03140394088669951,3248,84.82,11.58,2.28,1.32
2003,2019,2.931691586045148e-4,0.012606273819994136,0.0038111990618586926,0.014365288771621226,0.0316622691292876,0.12313104661389622,2.931691586045148e-4,0.11814717091761946,0.007036059806508356,8.795074758135445e-4,0.21108179419525067,0.025212547639988273,0.020228671943711522,0.386690120199355,0.0158311345646438,0.02873057754324245,3411,80.86,14.95,2.67,0.94
2004,2015,4.371994253950409e-4,0.03074969291945121,0.006141610975787479,0.011346366040014157,0.020985572418961963,0.11040326442237629,8.327608102762684e-5,0.0741573501551017,0.004038889929839902,8.327608102762684e-5,0.21147960776965835,0.037953073928340936,0.02119376262153103,0.4185664022651094,0.014385942997522537,0.03799471196885475,48033,83.56,13.13,2.05,1.25
2004,2019,4.976267034144848e-4,0.021263971826672792,0.007502679528403001,0.012727759914255092,0.037991884856836626,0.12620578778135047,1.339764201500536e-4,0.07422293676312969,0.003062318174858368,7.65579543714592e-5,0.21099372224774154,0.04070969223702343,0.020632368703108254,0.39509646302250806,0.01475654570509876,0.03412570816107793,52248,79.95,16.21,2.44,0.74
2005,2015,0.001961333706920706,0.025217147660409077,0.0033622863547212102,0.015410479125805548,0.013729335948444943,0.15830764920145698,0,0.09078173157747269,0.0036424768842813113,0,0.21602689829083777,0.02269543289436817,0.02297562342392827,0.40067245727094425,0.004202857943401513,0.021014289717007566,3569,87.34,10.93,1.18,0.56
2005,2019,0.0021327014218009478,0.013744075829383886,0.005924170616113744,0.016350710900473932,0.03293838862559242,0.18127962085308058,0,0.08862559241706161,0.0035545023696682463,0,0.20545023696682466,0.025592417061611375,0.02156398104265403,0.3741706161137441,0.006161137440758294,0.022511848341232227,4220,84.31,13.77,1.35,0.38
3001,2015,0.0757396449704142,0.011834319526627219,0.001183431952662722,0.008284023668639054,0.010650887573964497,0.13372781065088757,0,0.07692307692307693,0.004437869822485207,2.958579881656805e-4,0.19497041420118344,0.015976331360946745,0.020414201183431954,0.4050295857988166,0.007988165680473372,0.03254437869822485,3380,88.61,10.53,0.53,0.33
