CLAVE,agriculture,business_support,construction,entertainment,finance,hospitality,management,manufacturing,media,mining,other_services,professional_services,real_estate,retail,transport,wholesale,micro_firms,small_firms,medium_firms,big_firms
1001,5.216278045010026e-4,0.025030543586901776,0.010301218919293448,0.013095441522292119,0.016494185543362037,0.15301546144239175,5.0892810142816113e-5,0.09598978865052155,0.003080239640133604,1.2503431811590812e-4,0.17556192724415653,0.03444241822967324,0.021702441293335838,0.4000432674920792,0.007225225421306583,0.0433202860817926,86.625,11.52,1.275,0.46499999999999997
1002,0.00054945054945054945,0.018303677746402205,0.001323444357500085,0.02225019562480863,0.00529377743000034,0.1608155002891845,0,0.08727588201272411,0.005518320688599326,0.001323444357500085,0.15437519137209538,0.007267036369203552,0.015083523287857652,0.4899806076276665,0.003745789813901269,0.02689415847310584,95.055,4.435,0.185,0.155
1003,0.0036384255036707993,0.018257675132700612,0.0017755143422709904,0.018373982180108325,0.011097131172766724,0.1510081143150394,2.4740227610094015e-4,0.12287553120879127,0.0033910232275698596,0.0026269671944848345,0.1362873458198874,0.02082615573633552,0.01053677900621823,0.4699871862407564,0.00408953164630827,0.024981234996990405,93.095,6.414999999999999,0.28500000000000003,0.135
1004,0.0015625,0.016761363636363637,0,0.02528409090909091,0.007244318181818182,0.15113636363636362,0,0.10099431818181819,0.007528409090909091,0,0.115625,0.011931818181818182,0.034232954545454546,0.4978693181818182,0.0029829545454545456,0.02684659090909091,94.43,4.970000000000001,0.29500000000000004,0.155
1005,0.0013697476187509348,0.01804776662300742,0.00605244103259836,0.015205656987661303,0.010645879171459033,0.1431668028247136,1.1276499774470004e-4,0.15691666544159427,0.0013563884958934405,2.420976413039344e-4,0.13644739737451816,0.012118241188054213,0.02086368304366788,0.40441314248338744,0.014376749665905256,0.05866457540974005,85.11500000000001,11.355,2.225,0.98
1006,8.29646017699115e-4,0.019515468205984418,0.0023486158676612207,0.019659886089726422,0.009023001441685803,0.16318971559470963,0,0.08845497438585895,0.0024394335257480523,5.985061741761591e-4,0.16027571528699805,0.012754360672178883,0.0267511425217535,0.46598023950219103,0.002625164540227593,0.025554130173401184,93.63,5.665,0.585,0.125
1007,0.0015984030722021988,0.020130119202171604,0.0010525515438179194,0.019713637890493785,0.009265290651753534,0.14653219729638944,0,0.09503320502228799,0.0018713288363943386,5.328010240673996e-4,0.13942421174953926,0.01365820388746153,0.016776707005964647,0.5099155462146729,0.0018713288363943386,0.022624467766389163,94.555,4.890000000000001,0.29500000000000004,0.19
1008,0.003115501519756839,0.013335866261398176,0,0.012879939209726443,0.004445288753799392,0.2277355623100304,0,0.12321428571428572,0,0,0.08939969604863221,0.006231003039513678,0.006648936170212766,0.4876519756838906,0.003989361702127659,0.021352583586626138,90.445,9.25,0.315,0
1009,0,0.022491263928265313,0,0.02152425221423705,0.0028680688336520078,0.1669770994044087,0,0.09140183732225665,0,9.560229445506692e-4,0.12678018065537022,0.009090459550339554,0.010997011054702095,0.5052910925034615,0.0019120458891013384,0.03971066569965495,95.935,3.3449999999999998,0.24,0.38
1010,0.004809662460908012,0.015485819044537906,0,0.014693195298177504,0.009619324921816025,0.17776339911571226,0,0.08717243610482045,0,0,0.1317804378302599,0.01113447643696754,0.012913835867572523,0.5166397066752939,0,0.017987706243934004,92.965,5.925,0.635,0.485
